page,text_in_row,url
10,225 சாலபநடு 225 495,https://drive.google.com/open?id=0Bw1TGT80HnrbeUdaNER3ZnRBMm8
10,226 ஞாலபமங்கும் 226 188,https://drive.google.com/open?id=0Bw1TGT80HnrbbXF5dEdtT0FqUlU
10,227 சதாழகம 227 189,https://drive.google.com/open?id=0Bw1TGT80HnrbNkthV2xDQVJSV2M
10,228 புலவகை 228 190,https://drive.google.com/open?id=0Bw1TGT80Hnrbb2FheTBGRVNhSkk
10,229 மனபமனும் 229 191,https://drive.google.com/open?id=0Bw1TGT80HnrbZWY0MEFwMzlOTDA
10,230 அண்ைர்பதி 230 192,https://drive.google.com/open?id=0Bw1TGT80HnrbREhsY3RPOWgxX3M
11,231 சீதளவாரிஜ 231 193,https://drive.google.com/open?id=0Bw1TGT80HnrbcGxGaXFlc21XN3M
11,232 பிறவியான 232 194,https://drive.google.com/open?id=0Bw1TGT80HnrbMGcwX3c5OEozMVk
11,233 ஊனத்தகச 233 195,https://drive.google.com/open?id=0Bw1TGT80HnrbSzJjdzRkLTM4bGM
11,234 சருவிைழ்ந்து 234 196,https://drive.google.com/open?id=0Bw1TGT80HnrbcGFLc0V0LU1va1E
